case_id,train,val,test
topaneu_center2_ct_113,1,0,0
topaneu_center2_ct_118,1,0,0
topaneu_center2_ct_119,1,0,0
topaneu_center2_ct_120,1,0,0
topaneu_center2_ct_125,1,0,0
topaneu_center2_ct_126,1,0,0
topaneu_center2_ct_127,0,0,1
topaneu_center2_ct_128,1,0,0
topaneu_center2_ct_130,1,0,0
topaneu_center2_ct_134,1,0,0
topaneu_center2_ct_137,1,0,0
topaneu_center2_ct_138,1,0,0
topaneu_center2_ct_141,1,0,0
topaneu_center2_ct_142,0,1,0
topaneu_center2_ct_144,1,0,0
topaneu_center2_ct_147,1,0,0
topaneu_center2_ct_150,1,0,0
topaneu_center2_ct_154,1,0,0
topaneu_center2_ct_156,1,0,0
topaneu_center2_ct_160,0,1,0
topaneu_center2_ct_161,0,1,0
topaneu_center2_ct_162,1,0,0
topaneu_center2_ct_163,0,1,0
topaneu_center2_ct_164,1,0,0
topaneu_center2_ct_165,1,0,0
topaneu_center2_ct_166,1,0,0
topaneu_center2_ct_167,1,0,0
topaneu_center2_ct_169,1,0,0
topaneu_center2_ct_170,1,0,0
topaneu_center2_ct_171,1,0,0
topaneu_center2_ct_172,1,0,0
topaneu_center2_ct_173,1,0,0
topaneu_center2_ct_174,1,0,0
topaneu_center2_ct_175,0,1,0
topaneu_center2_ct_184,1,0,0
topaneu_center2_ct_189,0,0,1
topaneu_center2_ct_190,1,0,0
topaneu_center2_ct_191,1,0,0
topaneu_center2_ct_192,0,0,1
topaneu_center2_ct_193,0,0,1
topaneu_center2_ct_196,1,0,0
topaneu_center2_ct_197,1,0,0
topaneu_center2_mr_002,0,0,1
topaneu_center2_mr_004,1,0,0
topaneu_center2_mr_007,0,1,0
topaneu_center2_mr_010,1,0,0
topaneu_center2_mr_011,0,0,1
topaneu_center2_mr_012,1,0,0
topaneu_center2_mr_016,0,1,0
topaneu_center2_mr_017,1,0,0
topaneu_center2_mr_018,0,0,1
topaneu_center2_mr_019,1,0,0
topaneu_center2_mr_020,0,1,0
topaneu_center2_mr_025,1,0,0
topaneu_center2_mr_028,1,0,0
topaneu_center2_mr_029,1,0,0
topaneu_center2_mr_031,1,0,0
topaneu_center2_mr_032,1,0,0
topaneu_center2_mr_034,1,0,0
topaneu_center2_mr_035,1,0,0
topaneu_center2_mr_038,1,0,0
topaneu_center2_mr_042,1,0,0
topaneu_center2_mr_044,1,0,0
topaneu_center2_mr_047,1,0,0
topaneu_center2_mr_048,1,0,0
topaneu_center2_mr_049,0,0,1
topaneu_center2_mr_050,1,0,0
topaneu_center2_mr_051,1,0,0
topaneu_center2_mr_054,1,0,0
topaneu_center2_mr_055,1,0,0
topaneu_center2_mr_056,1,0,0
topaneu_center2_mr_057,1,0,0
topaneu_center2_mr_058,1,0,0
topaneu_center2_mr_069,1,0,0
topaneu_center2_mr_074,0,1,0
topaneu_center2_mr_077,1,0,0
topaneu_center2_mr_078,1,0,0
topaneu_center2_mr_079,1,0,0
topaneu_center2_mr_080,1,0,0
topaneu_center2_mr_083,1,0,0
topaneu_center2_mr_085,1,0,0
topaneu_center2_mr_086,1,0,0
topaneu_center4_ct_002,1,0,0
topaneu_center4_ct_005,1,0,0
topaneu_center4_ct_008_1,1,0,0
topaneu_center4_ct_008_2,1,0,0
topaneu_center4_ct_009,1,0,0
topaneu_center4_ct_012,1,0,0
topaneu_center4_ct_019,1,0,0
topaneu_center4_ct_020_1,1,0,0
topaneu_center4_ct_020_2,1,0,0
topaneu_center4_ct_020_3,1,0,0
topaneu_center4_ct_023,0,1,0
topaneu_center4_ct_025_1,1,0,0
topaneu_center4_ct_025_2,1,0,0
topaneu_center4_ct_030,0,0,1
topaneu_center4_ct_034_1,1,0,0
topaneu_center4_ct_034_2,1,0,0
topaneu_center4_ct_037,1,0,0
topaneu_center4_ct_041,1,0,0
topaneu_center4_ct_042_1,1,0,0
topaneu_center4_ct_042_2,1,0,0
topaneu_center4_ct_045,0,1,0
topaneu_center4_ct_047,1,0,0
topaneu_center4_ct_048,1,0,0
topaneu_center4_ct_051_1,1,0,0
topaneu_center4_ct_051_2,1,0,0
topaneu_center4_ct_055,1,0,0
topaneu_center4_ct_057,0,1,0
topaneu_center4_ct_059,1,0,0
topaneu_center4_ct_060,1,0,0
topaneu_center4_ct_062_1,1,0,0
topaneu_center4_ct_062_2,1,0,0
topaneu_center4_ct_063,1,0,0
topaneu_center4_ct_064,0,1,0
topaneu_center4_ct_065,1,0,0
topaneu_center4_ct_067,1,0,0
topaneu_center4_ct_070,1,0,0
topaneu_center4_ct_072,1,0,0
topaneu_center4_ct_074,1,0,0
topaneu_center4_ct_083,1,0,0
topaneu_center4_ct_087,1,0,0
topaneu_center4_ct_093,0,0,1
topaneu_center4_ct_094,1,0,0
topaneu_center4_ct_097,0,1,0
topaneu_center4_ct_101,1,0,0
topaneu_center4_ct_102,1,0,0
topaneu_center4_ct_103,1,0,0
topaneu_center4_ct_104,1,0,0
topaneu_center4_ct_105,1,0,0
topaneu_center4_ct_106,1,0,0
topaneu_center4_ct_107,1,0,0
topaneu_center4_ct_108,0,0,1
topaneu_center4_ct_115,1,0,0
topaneu_center4_ct_116,1,0,0
topaneu_center4_ct_119,1,0,0
topaneu_center4_ct_122,1,0,0
topaneu_center4_ct_127,0,0,1
topaneu_center4_ct_129,1,0,0
topaneu_center4_ct_134,0,0,1
topaneu_center4_ct_140,0,1,0
topaneu_center4_ct_193,0,0,1
topaneu_center4_ct_200,1,0,0
topaneu_center4_ct_201,1,0,0
topaneu_center5_mr_007,1,0,0
topaneu_center5_mr_009,1,0,0
topaneu_center5_mr_010,1,0,0
topaneu_center5_mr_011,1,0,0
topaneu_center5_mr_015,1,0,0
topaneu_center5_mr_016,0,1,0
topaneu_center5_mr_021,1,0,0
topaneu_center5_mr_022,0,0,1
topaneu_center5_mr_023,0,1,0
topaneu_center5_mr_024,1,0,0
topaneu_center5_mr_025,1,0,0
topaneu_center5_mr_027,0,1,0
topaneu_center5_mr_028,1,0,0
topaneu_center5_mr_029,1,0,0
topaneu_center5_mr_030,1,0,0
topaneu_center5_mr_031,1,0,0
topaneu_center5_mr_032,1,0,0
topaneu_center5_mr_033,1,0,0
topaneu_center5_mr_034,1,0,0
topaneu_center5_mr_036,1,0,0
topaneu_center5_mr_037,1,0,0
topaneu_center5_mr_038,1,0,0
topaneu_center5_mr_039,1,0,0
topaneu_center5_mr_041,1,0,0
topaneu_center5_mr_052,1,0,0
topaneu_center5_mr_061,0,1,0
topaneu_center5_mr_063,1,0,0
topaneu_center5_mr_068,1,0,0
topaneu_center5_mr_074,1,0,0
topaneu_center5_mr_079,1,0,0
topaneu_center5_mr_081,0,1,0
topaneu_center5_mr_082,0,0,1
topaneu_center5_mr_451,1,0,0
topaneu_center5_mr_452,0,1,0
topaneu_center5_mr_453,0,0,1
topaneu_center5_mr_454,1,0,0
topaneu_center5_mr_455,1,0,0
topaneu_center5_mr_457,1,0,0
topaneu_center5_mr_458,1,0,0
topaneu_center5_mr_459,1,0,0
topaneu_center5_mr_460,1,0,0
topaneu_center5_mr_461,1,0,0
topaneu_center5_mr_462,1,0,0
topaneu_center5_mr_464,1,0,0
topaneu_center5_mr_465,0,0,1
topaneu_center5_mr_466,1,0,0
topaneu_center5_mr_467,1,0,0
topaneu_center5_mr_469,1,0,0
topaneu_center5_mr_470,1,0,0
topaneu_center5_mr_471,1,0,0
topaneu_center5_mr_472,1,0,0
topaneu_center5_mr_473,1,0,0
topaneu_center5_mr_474,1,0,0
topaneu_center5_mr_475,0,1,0
topaneu_center5_mr_476,1,0,0
topaneu_center5_mr_478,0,0,1
topaneu_center5_mr_479,1,0,0
topaneu_center5_mr_480,0,0,1
topaneu_center5_mr_481,1,0,0
topaneu_center5_mr_484,1,0,0
topaneu_center5_mr_485,1,0,0
topaneu_center5_mr_486,1,0,0
topaneu_center5_mr_487,1,0,0
topaneu_center5_mr_488,1,0,0
topaneu_center5_mr_489,1,0,0
topaneu_center5_mr_490,1,0,0
topaneu_center5_mr_491,1,0,0
topaneu_center5_mr_492,0,0,1
